x1,x2
4393,5120
3574,4831
4067,5519
6796,6106
6041,4509
4595,3144
6318,5088
3452,5755
3928,4899
4677,5335
6543,5262
4410,5230
5263,5313
6320,3939
5206,5924
6260,4956
5030,3601
3158,3663
6767,4560
7961,2830
3161,4775
5738,6445
5106,4760
5341,5341
5468,5383
4161,5296
3962,4906
6707,4675
4146,3917
4916,4135
4309,4889
5211,3243
4084,5322
4482,5365
3593,4268
5306,4312
5989,6864
5690,4875
5040,4908
6540,5067
3485,6718
4477,5844
4953,5286
6354,5114
6379,4907
5661,5565
6897,5850
3744,6379
3979,4938
4786,6581
4888,6819
5395,3975
2966,3377
4726,5401
4367,5036
3662,3789
3886,5110
4293,3923
2333,3613
4582,5297
5610,6242
3259,5950
4629,5317
5842,6197
5617,4236
6548,3409
6118,4044
4725,5536
4192,5453
4278,5484
5354,4927
5022,4139
4718,5589
5237,4296
5451,6077
4668,6331
4701,4898
4180,5471
5774,5616
5226,5140
4551,4441
4943,4647
5293,4476
4215,4468
3432,4519
3693,5783
5208,3443
6347,4598
4011,4265
4986,5270
5231,4316
6929,4004
5322,5181
3470,4440
5325,3172
4601,4722
5161,4791
3299,4842
7944,4904
5002,5891
4391,6220
5588,4509
5766,3611
4375,3935
4477,3443
4858,5926
5272,3044
5499,6214
4631,6851
4120,4804
5587,4924
7037,5744
5520,4586
2487,5699
5326,4825
4638,4208
3656,6266
6098,4212
4361,5422
6516,6323
6033,5170
4852,4770
6497,5087
5155,4395
4356,5464
5607,4024
6214,5726
4583,2884
3772,6267
4692,4952
5750,4841
5135,5259
4629,4810
5382,4331
3937,5526
5416,5624
3297,3914
6690,5938
4225,4401
4257,6437
6448,6773
4596,5229
4174,5219
5391,5857
5855,4602
5266,4383
5576,4608
5358,5841
3589,5419
3650,5119
6545,5265
6547,5514
4290,4786
4100,5896
5965,5325
6757,5043
4009,7356
3292,5049
3918,5536
4775,4727
6345,6466
5011,5629
6614,6111
5476,6042
4312,4181
6549,6521
5416,6537
4334,5352
4786,4434
5442,4916
4706,4211
4941,4822
7160,5538
6171,3874
5101,5289
5288,5646
6361,3001
4962,5344
2814,5594
5988,3941
8687,6008
4996,5455
2555,5327
5548,5791
5046,3391
5903,5006
5212,5098
4543,3870
4685,4871
5399,4756
4919,3965
3777,4955
2798,4113
5169,3368
4252,4892
6321,4387
4279,6226
5391,5175
5591,6074
4462,6269
4522,5111
4720,5126
5171,4536
4411,6887
6268,4705
5016,4638
6684,4717
6008,7080
5489,4975
5904,4579
2491,5038
4725,4841
5687,5150
4304,3846
4248,5432
5899,4074
4253,4246
4635,3265
5422,4096
2510,3780
5672,5033
6092,3923
5392,5015
5353,5142
4162,5413
4452,4957
5222,4622
6802,3389
5432,4150
4727,4963
4581,3835
4746,5713
3730,6681
4053,5992
5476,6322
3932,3840
4703,5353
5683,5100
5959,1994
5436,3338
6208,5922
5054,5352
2951,6093
3618,5813
5687,4306
5137,6910
5222,3886
4257,2480
6696,6455
5139,7404
5733,3225
5070,6068
6463,5095
5142,2926
5704,4299
5140,3820
5042,5871
2937,5775
5487,5042
5473,6096
5139,5014
5545,4751
4894,3155
3699,5134
4184,5584
5201,5322
5228,4611
4899,5871
4680,5199
6184,5039
3127,3805
4504,3089
3763,4763
5670,4483
4831,5414
4629,4610
6301,5874
3725,6304
5243,4656
4676,5527
5151,5972
4268,4110
5789,5526
4385,3362
4810,5296
5732,4458
1775,5325
4231,4555
5090,4657
4297,4493
7078,4701
4407,5708
3271,6938
5666,6282
3787,2995
5134,6327
5209,4591
4849,3205
6264,3294
7031,5280
5805,4556
4187,4888
4474,6213
4168,4288
3116,6703
5120,7753
4776,2441
4550,4020
4302,2635
6432,6673
2862,4395
4222,6678
5369,3095
4782,4739
5931,5668
7198,4486
5632,5810
4442,5585
5853,4361
5581,6820
3753,4568
4890,4230
4441,5465
5668,5561
5056,3783
4714,4847
5627,6424
4128,4288
5912,4569
5337,6035
3588,4876
4064,4239
5132,4542
5948,5061
5454,4682
3844,5598
2655,5197
5392,2635
6051,3757
5579,4165
4280,3793
5582,5671
5561,6794
5516,4731
5462,4841
5897,4704
6330,5596
5769,4704
