class,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17
1,6.98934,6.92067,6.62274,6.62007,7.14992,6.56103,7.22694,7.16549,7.03878,7.93737,7.20934,7.00579,6.73815,6.99118,7.13966,7.12287,6.94794
2,5.55683,5.45532,5.34233,4.76217,4.94164,4.41884,4.40672,4.14313,4.20469,4.14313,4.11087,4.17439,4.14313,4.41884,3.58352,4.04305,3.63759
2,3.71357,3.29584,3.17805,4.70048,5.00395,4.51086,3.61092,3.21888,2.99573,3.3322,2.63906,2.77259,3.4012,2.19722,3.09104,2.07944,3.17805
1,5.26269,5.72359,6.76619,6.04737,5.48064,5.22036,5.31321,5.0626,5.29832,6.25383,6.38856,6.32257,6.13556,5.96101,5.46806,5.22036,5.4848
1,4.09434,4.90527,5.17048,4.51086,4.20469,4.59512,4.96284,5.47227,5.56068,5.14166,5.0814,4.82028,4.72739,4.27667,4.72739,4.94164,5.09375
4,7.45991,7.07918,7.81561,7.08924,8.03883,6.95081,7.53423,7.38088,7.06133,9.07532,7.88871,7.97316,6.96791,7.70256,7.88571,7.43838,7.98514
1,4.89784,5.77765,6.38856,5.45532,5.21494,5.00395,4.91265,4.63473,4.80402,5.85507,5.98896,5.66643,5.37064,5.30827,4.8828,4.64439,4.60517
4,6.78106,6.22258,6.35089,6.31536,7.07665,6.50728,6.76273,6.6053,6.54965,7.2485,7.11151,7.10661,6.70686,6.97167,6.8533,6.7901,7.10743
4,7.79235,8.03171,8.48136,7.94094,8.3777,7.71468,8.2579,7.98888,7.68064,9.23562,8.58017,8.32966,7.83479,8.46695,8.58148,8.52576,8.57546
4,5.73979,6.25767,6.6896,6.20859,6.07535,5.76519,6.53233,6.08904,5.76205,7.49887,6.70319,6.35263,5.72031,6.24611,6.6896,6.24417,6.53669
4,5.73979,6.25767,6.6896,6.20859,6.07535,5.76519,6.53233,6.08904,5.76205,7.49887,6.70319,6.35263,5.72031,6.24611,6.6896,6.24417,6.53669
4,6.38688,5.82895,5.93225,5.72031,6.12249,5.94017,6.25767,6.20254,6.23245,6.65544,6.50279,6.5903,6.25575,6.29711,6.51915,6.06146,6.6995
4,7.8462,7.84346,8.05674,7.73368,8.24905,7.35883,8.05801,7.78489,7.49887,9.09313,8.28904,8.14497,7.60589,8.24591,8.45893,8.27919,8.37655
4,7.32317,7.61727,7.97109,7.62803,7.8774,7.37275,7.92841,7.59186,7.39326,8.67266,8.08086,7.86596,7.56216,8.01994,8.32093,8.26049,7.97074
4,6.70196,5.67332,6.81014,6.80461,6.85224,6.17379,6.56103,6.44413,6.32257,7.55066,7.00216,6.93828,6.64898,6.51471,6.80904,6.04737,6.9575
4,6.70196,5.67332,6.81014,6.80461,6.85224,6.17379,6.56103,6.44413,6.32257,7.55066,7.00216,6.93828,6.64898,6.51471,6.80904,6.04737,6.9575
1,5.01728,3.93183,5.05625,5.0626,5.36598,4.99721,5.19296,5.2575,5.23111,5.01064,4.99721,5.23111,5.23111,4.8752,5.09375,4.67283,5.20949
4,7.31255,7.18614,7.50219,7.45124,7.80466,7.05618,7.54645,7.43838,7.23418,8.52099,7.78614,7.77359,7.38275,7.56424,7.8336,7.56579,7.70616
1,6.04501,6.08904,6.72982,6.53814,6.46925,6.15486,6.42325,6.36647,6.27664,6.30992,6.40523,6.46459,6.3315,6.04025,6.16961,6.01127,6.00881
1,6.43294,6.8533,7.58274,7.2807,6.98379,6.46925,6.30992,6.10032,6.05444,7.35628,7.47193,7.38771,6.98657,6.73578,6.68211,6.24417,6.51026
3,7.18917,6.95081,7.15851,7.11477,7.37901,6.83303,7.22475,7.14756,6.97167,7.69166,7.30586,7.27863,7.0184,7.05359,7.37337,7.11558,7.27309
4,6.44889,5.95584,5.9162,5.98141,6.34914,6.04263,6.33505,6.22654,6.31355,6.76504,6.49072,6.56244,6.32436,6.37673,6.59715,6.04501,6.76849
1,6.1717,6.59715,6.98008,6.53233,6.39693,6.46147,6.73459,6.45205,6.28413,6.64898,6.70196,6.52356,6.36475,6.30628,6.37843,6.49527,6.12687
4,7.68294,7.30182,7.88307,7.5725,8.18088,7.19293,7.76174,7.57558,7.26962,8.95635,8.08086,7.9735,7.40732,7.89618,8.14758,7.7907,8.27257
4,6.85961,7.17089,7.54168,7.06476,7.38088,6.80239,7.35116,7.19594,6.89669,8.70135,7.70481,7.49832,6.91572,7.62266,7.84815,7.59287,7.88871
4,6.86589,7.27448,7.57712,7.16317,7.62706,6.90675,7.6029,7.18311,6.94119,8.61577,7.73105,7.53262,7.05876,7.58325,8.03657,7.95015,7.37776
1,5.6058,5.1358,5.57215,5.31321,5.42053,5.09375,5.39363,5.3845,5.37528,5.57595,5.3845,5.51343,5.37528,5.01064,5.24175,4.79579,5.47227
1,4.7362,5.60947,5.18739,4.82831,4.74493,4.97673,5.66643,6.19644,6.16961,6.27288,5.9108,5.3845,5.23111,5.17048,5.68698,6.18002,6.01859
2,4.92725,5.09987,4.84419,5.01728,5.31812,4.77068,4.36945,4.7185,4.45435,5.47646,5.0689,4.79579,4.95583,4.97673,4.91998,4.91265,4.99721
4,6.11368,6.67077,6.54247,5.95584,6.01616,6.34036,6.49224,6.2672,6.25383,6.95177,6.62407,6.53524,6.20456,6.52796,6.66058,6.75926,6.83195
1,4.55388,4.43082,4.18965,4.39445,4.29046,4.48864,4.26268,4.77068,4.57471,4.11087,4.2485,4.26268,4.55388,4.18965,4.15888,3.95124,4.27667
2,4.55388,4.43082,4.18965,4.39445,4.29046,4.48864,4.26268,4.77068,4.57471,4.11087,4.2485,4.26268,4.55388,4.18965,4.15888,3.95124,4.27667
4,7.30854,7.64396,7.76938,7.64012,7.76726,7.24993,7.82804,7.49721,7.29029,8.43555,7.97316,7.64204,7.40062,7.90692,8.31483,8.18088,7.78197
